Province,Year,Allocated Budget (Rs. In Millions),Sector/Sub-Sector,Population,Normalized
Punjab,2013-14,36,Auqaf and Religious Affairs,98223000,0.036651293
Punjab,2006-07,50,Food,87548000,0.057111527
Punjab,2006-07,50,Food,87548000,0.057111527
Punjab,2006-07,50,Auqaf and Religious Affairs,87548000,0.057111527
Punjab,2007-08,82,Auqaf and Religious Affairs,89036000,0.092097579
Punjab,2015-16,100,Auqaf and Religious Affairs,101391000,0.098628083
Punjab,2014-15,100,Auqaf and Religious Affairs,99794000,0.100206425
Punjab,2009-10,100,Food,92089000,0.108590603
Punjab,2009-10,100,Food,92089000,0.108590603
Punjab,2008-09,100,Food,90550000,0.110436223
Punjab,2008-09,100,Food,90550000,0.110436223
Punjab,2008-09,100,Auqaf and Religious Affairs,90550000,0.110436223
Punjab,2013-14,110,Food,98223000,0.111990063
Punjab,2007-08,120,Food,89036000,0.134776944
Punjab,2007-08,120,Food,89036000,0.134776944
Punjab,2011-12,150,Auqaf and Religious Affairs,95153000,0.157640852
Punjab,2002-03,154,Livestock,81598000,0.188730116
Punjab,2012-13,185,Auqaf and Religious Affairs,96676000,0.191360834
Punjab,2012-13,200,Food,96676000,0.206876577
Punjab,2003-04,172,Livestock,83067000,0.207061769
Punjab,2010-11,200,Food,93682000,0.213488183
Punjab,2011-12,230,Food,95153000,0.241715973
Punjab,2002-03,200,Information Technology,81598000,0.245104047
Punjab,2002-03,200,Information Technology,81598000,0.245104047
Punjab,2004-05,208,Livestock,84562000,0.245973369
Punjab,2003-04,230,Information Technology,83067000,0.276884924
Punjab,2003-04,230,Information Technology,83067000,0.276884924
Punjab,2010-11,276,Auqaf and Religious Affairs,93682000,0.294613693
Punjab,2012-13,350,Industries,96676000,0.362034011
Punjab,2010-11,360,Industries,93682000,0.38427873
Punjab,2016-17,400,Auqaf and Religious Affairs,103013000,0.388300506
Punjab,2009-10,375,Auqaf and Religious Affairs,92089000,0.40721476
Punjab,2004-05,366,Information Technology,84562000,0.432818524
Punjab,2004-05,366,Information Technology,84562000,0.432818524
Punjab,2015-16,500,Women's Development,101391000,0.493140417
Punjab,2012-13,500,Women's Development,96676000,0.517191444
Punjab,2009-10,550,Industries,92089000,0.597248314
Punjab,2006-07,600,Livestock,87548000,0.685338329
Punjab,2015-16,725,Food,101391000,0.715053604
Punjab,2006-07,680,Industries,87548000,0.776716773
Punjab,2002-03,657,Agriculture,81598000,0.805166793
Punjab,2002-03,657,Agriculture,81598000,0.805166793
Balochistan,2007-08,229.83,Agriculture,,
Punjab,2005-06,700,Information Technology,86087000,0.813130902
Balochistan,2007-08,1958.92,Education,,
Punjab,2005-06,700,Information Technology,86087000,0.813130902
Punjab,2004-05,737,Agriculture,84562000,0.871549869
Balochistan,2007-08,0,Food,,
Punjab,2004-05,737,Agriculture,84562000,0.871549869
Punjab,2003-04,737,Agriculture,83067000,0.887235605
Balochistan,2007-08,3.57,Information Technology,,
